superct_v0_Lung_1.csv
the number of observations: 2009
the number of features: 20765
loss
	7.824260137567762e-07
	7.824260137567762e-07
	7.824260137567762e-07
	7.824260137567762e-07
	7.824260137567762e-07
	7.824260137567762e-07
	7.824260137567762e-07
	7.824260137567762e-07
	7.824260137567762e-07
	7.824260137567762e-07
	7.824260137567762e-07
	7.824260137567762e-07
	7.824260137567762e-07
	7.824260137567762e-07
	7.824260137567762e-07
	7.824260137567762e-07

accuracy
	0.03733200579881668
	0.038327526301145554
	0.03633648529648781
	0.039323046803474426
	0.03334992378950119
	0.03185664489865303
	0.036834247410297394
	0.03135888651013374
	0.03583872690796852
	0.03633648529648781
	0.036834247410297394
	0.043802887201309204
	0.036834247410297394
	0.03484320640563965
	0.035340964794158936
	0.03484320640563965

val_loss
	7.858807862248796e-07
	7.858807862248796e-07
	7.858807862248796e-07
	7.858807862248796e-07
	7.858807862248796e-07
	7.858807862248796e-07
	7.858807862248796e-07
	7.858807862248796e-07
	7.858807862248796e-07
	7.858807862248796e-07
	7.858807862248796e-07
	7.858807862248796e-07
	7.858807862248796e-07
	7.858807862248796e-07
	7.858807862248796e-07
	7.858807862248796e-07

val_accuracy
	0.0
	0.0
	0.0
	0.0
	0.0
	0.0
	0.0
	0.0
	0.0
	0.0
	0.0
	0.0
	0.0
	0.0
	0.0
	0.0

