superct_v0_Fetal_Kidney_1.csv
the number of observations: 2899
the number of features: 16225
loss
	7.009457476669922e-07
	7.009457476669922e-07
	7.009457476669922e-07
	7.009457476669922e-07
	7.009457476669922e-07
	7.009457476669922e-07
	7.009457476669922e-07
	7.009457476669922e-07
	7.009457476669922e-07
	7.009457476669922e-07
	7.009457476669922e-07
	7.009457476669922e-07
	7.009457476669922e-07
	7.009457476669922e-07
	7.009457476669922e-07
	7.009457476669922e-07
	7.009457476669922e-07
	7.009457476669922e-07
	7.009457476669922e-07
	7.009457476669922e-07
	7.009457476669922e-07
	7.009457476669922e-07
	7.009457476669922e-07

accuracy
	0.0
	0.0
	0.0
	0.0
	0.0
	0.0
	0.0
	0.0
	0.0
	0.0
	0.0
	0.0
	0.0
	0.0
	0.0
	0.0
	0.0
	0.0
	0.0
	0.0
	0.0
	0.0
	0.0

val_loss
	7.348226063186303e-07
	7.348226063186303e-07
	7.348226063186303e-07
	7.348226063186303e-07
	7.348226063186303e-07
	7.348226063186303e-07
	7.348226063186303e-07
	7.348226063186303e-07
	7.348226063186303e-07
	7.348226063186303e-07
	7.348226063186303e-07
	7.348226063186303e-07
	7.348226063186303e-07
	7.348226063186303e-07
	7.348226063186303e-07
	7.348226063186303e-07
	7.348226063186303e-07
	7.348226063186303e-07
	7.348226063186303e-07
	7.348226063186303e-07
	7.348226063186303e-07
	7.348226063186303e-07
	7.348226063186303e-07

val_accuracy
	0.0
	0.0
	0.0
	0.0
	0.0
	0.0
	0.0
	0.0
	0.0
	0.0
	0.0
	0.0
	0.0
	0.0
	0.0
	0.0
	0.0
	0.0
	0.0
	0.0
	0.0
	0.0
	0.0

